query_name,ewg_ingredient_id,inci_name,ewg_hazard_score,ewg_hazard_label,ewg_concerns_raw,concern_cancer,concern_developmental,concern_allergy,concern_endocrine,concern_organ_tox,concern_irritation,concern_restricted,concern_contamination,data_availability,function_tags,also_known_as,description,ewg_verified,source
niacinamide,,niacinamide,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
retinol,,retinol,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
ascorbic acid,,ascorbic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
vitamin c,,vitamin c,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
hyaluronic acid,,hyaluronic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
sodium hyaluronate,,sodium hyaluronate,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
salicylic acid,,salicylic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
glycolic acid,,glycolic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
lactic acid,,lactic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
mandelic acid,,mandelic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
azelaic acid,,azelaic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
kojic acid,,kojic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
tranexamic acid,,tranexamic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
ferulic acid,,ferulic acid,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
bakuchiol,,bakuchiol,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
squalane,,squalane,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
ceramide np,,ceramide np,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
ceramide ap,,ceramide ap,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
ceramide eg,,ceramide eg,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
ceramide ng,,ceramide ng,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
palmitoyl tripeptide-1,,palmitoyl tripeptide-1,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
palmitoyl tetrapeptide-7,,palmitoyl tetrapeptide-7,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
acetyl hexapeptide-3,,acetyl hexapeptide-3,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
zinc oxide,,zinc oxide,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
titanium dioxide,,titanium dioxide,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
centella asiatica extract,,centella asiatica extract,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
madecassoside,,madecassoside,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
asiaticoside,,asiaticoside,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
